Num Vehicles,Distance,Delta,Delta,Delta,Delta,Delta
20.0,1972.07489013,0.485,0.425,0.455,0.255,0.215
23.0,2634.52896289,0.345,0.195,0.605,0.815,0.335
20.0,2228.51355296,0.765,0.525,0.335,0.765,0.985
21.0,2151.52806436,0.055,0.355,0.995,0.225,0.315
21.0,2169.15960113,0.995,0.985,0.155,0.665,0.905
22.0,2378.79197086,0.215,0.035,0.615,0.645,0.175
21.0,2280.0938806,0.475,0.225,0.725,0.535,0.665
23.0,2564.59790779,0.165,0.455,0.365,0.945,0.405
22.0,2248.24888884,0.005,0.865,0.285,0.865,0.355
22.0,2114.46579276,0.325,0.665,0.885,0.005,0.725
21.0,2075.37159683,0.235,0.885,0.515,0.515,0.685
21.0,2246.97070838,0.575,0.015,0.715,0.285,0.225
23.0,2449.6902615,0.085,0.375,0.915,0.795,0.525
21.0,2101.87817957,0.785,0.785,0.345,0.365,0.165
21.0,2304.68049664,0.175,0.125,0.145,0.155,0.105
21.0,1981.24201615,0.405,0.995,0.525,0.485,0.015
21.0,2006.22916583,0.725,0.965,0.355,0.445,0.795
23.0,2267.00083396,0.795,0.625,0.095,0.145,0.845
21.0,1969.40393768,0.285,0.765,0.645,0.185,0.135
23.0,2518.5819364,0.885,0.705,0.235,0.805,0.755
21.0,2094.07531811,0.985,0.655,0.535,0.215,0.655
22.0,2204.4932162,0.685,0.795,0.105,0.465,0.395
26.0,3007.23443019,0.655,0.075,0.265,0.775,0.865
20.0,2059.27674563,0.585,0.305,0.205,0.205,0.085
21.0,2135.26047341,0.815,0.365,0.475,0.165,0.375
22.0,2300.30383635,0.365,0.315,0.895,0.565,0.595
22.0,2397.60534004,0.825,0.545,0.575,0.995,0.045
20.0,2230.43576294,0.845,0.475,0.305,0.635,0.025
22.0,2468.63942279,0.095,0.245,0.005,0.335,0.275
20.0,2060.63521958,0.675,0.605,0.705,0.495,0.875
21.0,2131.42966262,0.435,0.905,0.505,0.275,0.945
21.0,2218.94810885,0.955,0.835,0.835,0.715,0.515
24.0,2026.70670249,0.695,0.645,0.045,0.085,0.125
22.0,2184.30802925,0.355,0.175,0.415,0.235,0.345
23.0,2560.91537221,0.515,0.005,0.675,0.885,0.365
23.0,2617.41335597,0.195,0.145,0.225,0.595,0.705
20.0,2184.43768861,0.905,0.775,0.985,0.745,0.825
23.0,2488.06840092,0.565,0.405,0.595,0.955,0.485
22.0,2275.49130198,0.625,0.025,0.745,0.115,0.555
22.0,2175.46535711,0.295,0.685,0.425,0.375,0.815
21.0,2052.11943513,0.075,0.205,0.735,0.075,0.155
21.0,2209.42958524,0.865,0.805,0.795,0.915,0.055
22.0,2080.01655522,0.465,0.595,0.925,0.055,0.605
22.0,2229.91756684,0.505,0.445,0.315,0.435,0.645
22.0,2308.42847116,0.425,0.215,0.775,0.625,0.425
23.0,2519.00491967,0.525,0.115,0.395,0.725,0.295
21.0,2073.93004039,0.605,0.635,0.585,0.105,0.615
21.0,2200.43354897,0.595,0.615,0.815,0.675,0.095
20.0,2084.56778598,0.415,0.925,0.625,0.475,0.565
24.0,2783.56885906,0.535,0.045,0.385,0.935,0.745
22.0,2372.0133619,0.455,0.385,0.975,0.925,0.255
21.0,2351.31591988,0.045,0.535,0.085,0.835,0.855
21.0,2260.69107276,0.225,0.695,0.375,0.695,0.505
21.0,2167.51695017,0.255,0.485,0.765,0.555,0.975
21.0,1994.04130659,0.915,0.875,0.025,0.325,0.115
23.0,2506.19330979,0.835,0.295,0.545,0.685,0.955
21.0,2042.27856652,0.615,0.735,0.805,0.305,0.475
22.0,2419.96183505,0.315,0.155,0.665,0.755,0.035
22.0,2139.11796339,0.745,0.415,0.685,0.405,0.575
22.0,2371.41246902,0.635,0.105,0.465,0.395,0.145
24.0,2397.7347388,0.015,0.335,0.055,0.195,0.835
28.0,3170.14359386,0.545,0.055,0.065,0.975,0.205
23.0,2374.62269446,0.895,0.435,0.165,0.355,0.995
20.0,1912.9035,0.945,0.845,0.875,0.015,0.265
21.0,2321.12855921,0.395,0.555,0.195,0.855,0.385
23.0,2244.21174454,0.335,0.495,0.435,0.175,0.805
21.0,2293.41774525,0.105,0.395,0.175,0.345,0.635
22.0,2233.55428695,0.125,0.915,0.405,0.985,0.235
21.0,2076.03592935,0.155,0.815,0.295,0.615,0.415
22.0,2238.66838475,0.305,0.755,0.845,0.905,0.185
21.0,2223.21890182,0.385,0.285,0.855,0.385,0.435
21.0,2038.97693799,0.935,0.855,0.035,0.455,0.465
21.0,2076.26471969,0.645,0.325,0.115,0.135,0.305
20.0,2110.99409585,0.705,0.565,0.565,0.415,0.455
21.0,2139.80740578,0.445,0.675,0.275,0.425,0.915
23.0,2455.9863181,0.665,0.185,0.215,0.875,0.245
23.0,2533.75270088,0.775,0.135,0.935,0.735,0.325
20.0,2110.99409585,0.035,0.935,0.965,0.705,0.785
22.0,2292.60809396,0.735,0.945,0.015,0.825,0.925
20.0,2039.82879238,0.205,0.895,0.825,0.505,0.075
23.0,2683.19844506,0.715,0.095,0.245,0.525,0.005
23.0,2161.97281179,0.805,0.575,0.325,0.025,0.885
21.0,2135.26047341,0.925,0.585,0.635,0.265,0.545
21.0,1948.66267665,0.975,0.955,0.555,0.035,0.535
22.0,2618.44719917,0.245,0.085,0.485,0.785,0.765
24.0,2547.6745355,0.855,0.265,0.495,0.845,0.495
23.0,2547.95813672,0.185,0.235,0.185,0.895,0.285
21.0,2048.84513251,0.115,0.505,0.445,0.065,0.675
22.0,2218.94637646,0.135,0.465,0.125,0.315,0.775
22.0,2079.58446725,0.965,0.515,0.955,0.045,0.715
22.0,2363.44764756,0.555,0.275,0.655,0.585,0.195
21.0,2187.88986639,0.145,0.165,0.695,0.245,0.695
22.0,2122.30109486,0.065,0.715,0.905,0.545,0.935
21.0,2132.50616255,0.375,0.065,0.785,0.095,0.625
22.0,2211.75658271,0.755,0.825,0.075,0.655,0.735
21.0,2188.14157367,0.025,0.975,0.255,0.605,0.965
22.0,2436.5811551,0.275,0.255,0.755,0.965,0.895
21.0,2078.65626,0.265,0.745,0.865,0.295,0.065
22.0,2173.48987774,0.875,0.345,0.135,0.125,0.585
21.0,2107.15192542,0.495,0.725,0.945,0.575,0.445
