Num Vehicles,Distance,Delta,Delta,Delta,Delta,Delta
14.0,958.094995774,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
11.0,846.825059445,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
12.0,895.908760222,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
13.0,944.37112675,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
12.0,942.659764406,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
12.0,796.331434514,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
12.0,859.564433295,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
12.0,890.605212905,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
12.0,839.414462923,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
12.0,844.2962307,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
13.0,895.037760013,0.570196770418,0.438601513462,0.988373838059,0.102044810748,0.208876756095
13.0,944.704535897,0.161309517885,0.653108325465,0.25329160254,0.466310772856,0.244425592002
12.0,952.278254976,0.158969583646,0.110375141164,0.656329589465,0.138182951349,0.19658236168
12.0,835.581152623,0.368725170661,0.820993229848,0.0971012757931,0.837944907499,0.096098407894
12.0,949.438475587,0.976459465013,0.468651201648,0.97676108819,0.604845519745,0.739263579398
12.0,916.516860538,0.0391877922543,0.282806962576,0.120196561213,0.296140197522,0.118727718954
13.0,953.495523008,0.317983179394,0.414262994515,0.0641474963488,0.69247211937,0.566601454207
13.0,933.266972118,0.265389490939,0.523248053467,0.0939405107584,0.575946495556,0.929296197576
11.0,859.91268077,0.318568952451,0.667410379964,0.131797862404,0.716327204119,0.289406092947
11.0,817.496060945,0.183191362007,0.58651293481,0.0201075461875,0.828940029217,0.00469547619255
12.0,863.973075425,0.677816536796,0.270007973192,0.735194022123,0.962188545117,0.24875314352
11.0,822.597399278,0.576157334418,0.592041931272,0.572251905791,0.223081632641,0.952749011517
12.0,839.414462923,0.447125378618,0.846408672471,0.699479275318,0.297436950855,0.813797819702
12.0,925.614815309,0.396505740847,0.881103197111,0.581272872636,0.881735361855,0.692531590078
12.0,872.749578015,0.72525427982,0.501324381927,0.956083634723,0.64399019923,0.423855048558
