Num Vehicles,Distance,Delta,Delta,Delta,Delta,Delta
22.0,2133.02105003,0.0,1.0,1.0,1.0,1.0
22.0,2133.02105003,0.111111111111,1.0,1.0,1.0,1.0
22.0,2133.02105003,0.222222222222,1.0,1.0,1.0,1.0
22.0,2320.7380908,0.333333333333,1.0,1.0,1.0,1.0
22.0,2133.02105003,0.444444444444,1.0,1.0,1.0,1.0
22.0,2133.02105003,0.555555555556,1.0,1.0,1.0,1.0
22.0,2133.02105003,0.666666666667,1.0,1.0,1.0,1.0
21.0,2245.16837176,0.777777777778,1.0,1.0,1.0,1.0
21.0,2245.16837176,0.888888888889,1.0,1.0,1.0,1.0
21.0,2258.50618692,1.0,1.0,1.0,1.0,1.0
23.0,2515.67213575,1.0,0.0,1.0,1.0,1.0
23.0,2489.50275137,1.0,0.111111111111,1.0,1.0,1.0
22.0,2516.41181918,1.0,0.222222222222,1.0,1.0,1.0
22.0,2277.59281143,1.0,0.333333333333,1.0,1.0,1.0
22.0,2283.93550004,1.0,0.444444444444,1.0,1.0,1.0
22.0,2308.5180294,1.0,0.555555555556,1.0,1.0,1.0
21.0,2269.48319884,1.0,0.666666666667,1.0,1.0,1.0
22.0,2232.74545153,1.0,0.777777777778,1.0,1.0,1.0
22.0,2154.70926307,1.0,0.888888888889,1.0,1.0,1.0
21.0,2258.50618692,1.0,1.0,1.0,1.0,1.0
22.0,2231.61663012,1.0,1.0,0.0,1.0,1.0
23.0,2314.88254121,1.0,1.0,0.111111111111,1.0,1.0
22.0,2332.85067694,1.0,1.0,0.222222222222,1.0,1.0
21.0,2140.60427782,1.0,1.0,0.333333333333,1.0,1.0
22.0,2267.70853039,1.0,1.0,0.444444444444,1.0,1.0
21.0,2193.4527119,1.0,1.0,0.555555555556,1.0,1.0
22.0,2336.80286522,1.0,1.0,0.666666666667,1.0,1.0
21.0,2248.53849235,1.0,1.0,0.777777777778,1.0,1.0
23.0,2366.57411799,1.0,1.0,0.888888888889,1.0,1.0
21.0,2258.50618692,1.0,1.0,1.0,1.0,1.0
21.0,2061.48076438,1.0,1.0,1.0,0.0,1.0
21.0,1966.13593154,1.0,1.0,1.0,0.111111111111,1.0
21.0,1985.10100997,1.0,1.0,1.0,0.222222222222,1.0
21.0,2064.85433333,1.0,1.0,1.0,0.333333333333,1.0
21.0,2058.38822497,1.0,1.0,1.0,0.444444444444,1.0
22.0,2149.08890705,1.0,1.0,1.0,0.555555555556,1.0
22.0,2229.38819014,1.0,1.0,1.0,0.666666666667,1.0
22.0,2233.05976884,1.0,1.0,1.0,0.777777777778,1.0
21.0,2189.59907212,1.0,1.0,1.0,0.888888888889,1.0
21.0,2258.50618692,1.0,1.0,1.0,1.0,1.0
21.0,2111.64664673,1.0,1.0,1.0,1.0,0.0
21.0,2106.3420021,1.0,1.0,1.0,1.0,0.111111111111
21.0,2148.87717166,1.0,1.0,1.0,1.0,0.222222222222
22.0,2203.45965311,1.0,1.0,1.0,1.0,0.333333333333
22.0,2160.68352423,1.0,1.0,1.0,1.0,0.444444444444
21.0,2131.64174705,1.0,1.0,1.0,1.0,0.555555555556
20.0,2104.97915138,1.0,1.0,1.0,1.0,0.666666666667
20.0,2242.91334856,1.0,1.0,1.0,1.0,0.777777777778
21.0,2092.90540952,1.0,1.0,1.0,1.0,0.888888888889
21.0,2258.50618692,1.0,1.0,1.0,1.0,1.0
