search_type,filename,num_veh,dist,d0,d1,d2,d3,d4,Number of vehicles,Max capacity,Customers,total demand,Minimum vehicles to satisfy capacity
heuristic,c101,10,889.04677179,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c101,11,1087.72579442,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c101,11,1161.14520029,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c101,13,2657.40949759,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c101,11,1213.23420626,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c101,11,1218.43194376,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c101,10,855.065443397,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c101,12,1792.58187506,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c101,10,914.4605844419999,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c101,13,2371.84871302,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c102,11,1667.99483405,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c102,11,2132.03795113,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c102,11,1870.52260248,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c102,11,2573.39865984,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c102,11,2043.52587461,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c102,11,1758.38316052,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c102,10,1601.7902566999999,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c102,11,2178.38946213,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c102,10,1402.28493586,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c102,11,2394.24424331,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c103,11,1967.98420382,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c103,11,2546.22938591,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c103,11,2568.46449942,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c103,11,2799.51234795,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c103,11,1982.21346215,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c103,11,2379.42565883,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c103,11,2061.73508055,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c103,11,2718.56311955,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c103,11,1602.87994765,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c103,12,2893.16199785,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c104,11,1685.26088025,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c104,11,2231.13841279,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c104,11,2238.26507183,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c104,12,2890.87139382,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c104,11,1970.43053975,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c104,11,1743.03840433,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c104,11,1839.24435907,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c104,11,2400.88298551,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c104,12,1593.38063188,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c104,12,3157.70624398,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c105,11,1258.48317115,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c105,11,1534.29955207,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c105,11,1929.49678675,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c105,13,2468.63289827,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c105,11,1330.48471874,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c105,11,1662.60414234,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c105,11,1651.12783801,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c105,12,2169.31600001,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c105,10,992.029249052,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c105,12,2442.9144589,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c106,11,1799.98671366,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c106,12,2499.9889244,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c106,11,2293.13018954,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c106,12,2720.57976521,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c106,11,2113.7594009,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c106,11,2413.6072925999997,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c106,11,1843.54133418,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c106,12,2451.43938172,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c106,11,1256.79282496,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c106,12,2711.55466799,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c107,11,1432.27688566,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c107,11,1634.68806231,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c107,11,1491.91140609,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c107,12,2266.55053285,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c107,10,1432.25662213,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c107,10,1310.74769993,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c107,10,1414.98890415,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c107,11,1816.5174555999997,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c107,12,1519.90472253,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c107,12,2223.3143428000003,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c108,11,1850.44711886,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c108,12,2618.54349243,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c108,12,2775.00434096,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c108,12,2792.05547402,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c108,11,2566.36608617,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c108,11,2109.62435116,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c108,12,2111.50232629,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c108,12,2766.9803176,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c108,11,1294.18515063,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
heuristic,c108,12,3041.9894519,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1810,9.05
heuristic,c109,10,1460.84246051,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1810,9.05
heuristic,c109,11,1935.89760044,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1810,9.05
heuristic,c109,11,1737.20803649,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1810,9.05
heuristic,c109,11,2207.33384733,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1810,9.05
heuristic,c109,11,1664.64476726,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1810,9.05
heuristic,c109,10,1489.80820206,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1810,9.05
heuristic,c109,10,1556.25591712,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1810,9.05
heuristic,c109,11,2092.85032039,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1810,9.05
heuristic,c109,10,1395.10324343,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1810,9.05
